endInstructions.keys,endInstructions.rt,trials.maxVal,trials.minVal,trials.label,trials.stepSizes,trials.startVal,trials.sf,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,date,frameRate,expName,session,participant,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,33,129,down,2,db,0.01,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,33,130,up,1,db,0.0141253754462,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,33,131,up,1,db,0.0141253754462,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,34,132,up,1,db,0.0141253754462,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,34,133,down,1,db,0.11220184543,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,34,134,up,1,db,0.0141253754462,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,34,135,up,1,db,0.011220184543,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,35,136,down,1,db,0.11220184543,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,35,137,up,1,db,0.0141253754462,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,35,138,up,1,db,0.0125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,35,139,up,1,db,0.0141253754462,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,36,140,up,1,db,0.0158489319246,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,36,141,up,1,db,0.0158489319246,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,36,142,down,1,db,0.1,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,36,143,up,1,db,0.0125892541179,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,37,144,up,1,db,0.11220184543,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,37,145,up,1,db,0.0158489319246,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
